Method,Seed,bin,left,right,count,mean_confidence,accuracy,weight
no_family_objective,22,3,0.13333333333333333,0.2,792,0.1639658659696579,0.13383838383838384,0.006729829629944343
no_family_objective,22,4,0.2,0.26666666666666666,400,0.23028679192066193,0.345,0.003398903853507244
no_family_objective,22,5,0.26666666666666666,0.3333333333333333,426,0.3012346029281616,0.5140845070422535,0.0036198326039852146
no_family_objective,22,6,0.3333333333333333,0.4,587,0.3698568046092987,0.6729131175468483,0.00498789140502188
no_family_objective,22,7,0.4,0.4666666666666667,1857,0.4428322911262512,0.6112008616047389,0.01577941113990738
no_family_objective,22,8,0.4666666666666667,0.5333333333333333,23967,0.4955379366874695,0.6160971335586432,0.2036538216425203
no_family_objective,22,9,0.5333333333333333,0.6,20082,0.5534359812736511,0.6505826112936959,0.17064196796533118
no_family_objective,22,10,0.6,0.6666666666666666,17980,0.6367207169532776,0.7313681868743048,0.15278072821515062
no_family_objective,22,11,0.6666666666666666,0.7333333333333333,1146,0.6954887509346008,0.9336823734729494,0.009737859540298254
no_family_objective,22,12,0.7333333333333333,0.8,1409,0.7706815004348755,0.9538679914833215,0.011972638823979267
no_family_objective,22,13,0.8,0.8666666666666667,3145,0.8279119729995728,0.9806041335453101,0.026723881548200705
no_family_objective,22,14,0.8666666666666667,0.9333333333333333,2867,0.8914840221405029,0.9822113707708406,0.02436164337001317
no_family_objective,22,15,0.9333333333333333,1.0,42708,0.9935312271118164,0.9999765851831038,0.3629009644389684
no_ood_reconstruction,11,1,0.0,0.06666666666666667,0,,,0.0
no_ood_reconstruction,11,2,0.06666666666666667,0.13333333333333333,196,0.11893357336521149,0.21428571428571427,0.0016654628882185494
no_ood_reconstruction,11,3,0.13333333333333333,0.2,888,0.16546791791915894,0.14752252252252251,0.007545566554786082
no_ood_reconstruction,11,4,0.2,0.26666666666666666,420,0.2336137890815735,0.40476190476190477,0.003568849046182606
no_ood_reconstruction,11,5,0.26666666666666666,0.3333333333333333,451,0.3005683124065399,0.41019955654101997,0.0038322640948294175
no_ood_reconstruction,11,6,0.3333333333333333,0.4,750,0.3669591546058655,0.444,0.006372944725326082
no_ood_reconstruction,11,7,0.4,0.4666666666666667,1389,0.43971291184425354,0.468682505399568,0.011802693631303905
no_ood_reconstruction,11,8,0.4666666666666667,0.5333333333333333,15264,0.5073889493942261,0.6651598532494759,0.12970217104983642
no_ood_reconstruction,11,9,0.5333333333333333,0.6,4167,0.5656678676605225,0.6635469162467003,0.03540808089391171
no_ood_reconstruction,11,10,0.6,0.6666666666666666,9163,0.6345387101173401,0.19415038742769836,0.07786039002421719
no_ood_reconstruction,11,11,0.6666666666666666,0.7333333333333333,31249,0.6945543885231018,0.7955454574546386,0.26553086629561967
no_ood_reconstruction,11,12,0.7333333333333333,0.8,2161,0.7581543922424316,0.950485886163813,0.018362578068572884
no_ood_reconstruction,11,13,0.8,0.8666666666666667,1187,0.8454895615577698,0.9738837405223252,0.010086247185282747
no_ood_reconstruction,11,14,0.8666666666666667,0.9333333333333333,12383,0.9197455644607544,0.9978195913752725,0.1052215660449505
no_ood_reconstruction,11,15,0.9333333333333333,1.0,38017,0.9803600311279297,0.9996843517373807,0.3230403194969622
no_ood_reconstruction,22,1,0.0,0.06666666666666667,0,,,0.0
no_ood_reconstruction,22,2,0.06666666666666667,0.13333333333333333,624,0.11852049082517624,0.05929487179487179,0.005302290011471301
no_ood_reconstruction,22,3,0.13333333333333333,0.2,594,0.15907062590122223,0.18855218855218855,0.005047372222458257
no_ood_reconstruction,22,4,0.2,0.26666666666666666,348,0.23405009508132935,0.4166666666666667,0.002957046352551302
no_ood_reconstruction,22,5,0.26666666666666666,0.3333333333333333,357,0.30068397521972656,0.5126050420168067,0.0030335216892552154
no_ood_reconstruction,22,6,0.3333333333333333,0.4,484,0.36810028553009033,0.5289256198347108,0.004112673662743765
no_ood_reconstruction,22,7,0.4,0.4666666666666667,1016,0.43776175379753113,0.656496062992126,0.0086332157879084
no_ood_reconstruction,22,8,0.4666666666666667,0.5333333333333333,14481,0.5176441073417664,0.5218562253987984,0.123048816756596
no_ood_reconstruction,22,9,0.5333333333333333,0.6,34347,0.5622358322143555,0.6896381052202522,0.2918553766410333
no_ood_reconstruction,22,10,0.6,0.6666666666666666,13320,0.6136461496353149,0.774024024024024,0.11318349832179123
no_ood_reconstruction,22,11,0.6666666666666666,0.7333333333333333,1462,0.6927780508995056,0.8734610123119015,0.012422993584568977
